subjid,date,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-0_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-400_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.doublecue,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.invalid,loc-con-1_flank-con-1_cue-int-800_cue-cond-trial.validspatial,loc-con-1_flank-con-1_cue-int-NaN_cue-cond-trial.nocue,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-0_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-400_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.doublecue,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.invalid,loc-con-1_flank-con-2_cue-int-800_cue-cond-trial.validspatial,loc-con-1_flank-con-2_cue-int-NaN_cue-cond-trial.nocue,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-0_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-400_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.doublecue,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.invalid,loc-con-2_flank-con-1_cue-int-800_cue-cond-trial.validspatial,loc-con-2_flank-con-1_cue-int-NaN_cue-cond-trial.nocue,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-0_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-400_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.doublecue,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.invalid,loc-con-2_flank-con-2_cue-int-800_cue-cond-trial.validspatial,loc-con-2_flank-con-2_cue-int-NaN_cue-cond-trial.nocue
28,21317,667.75,696.75,856.3333333,729.25,975.5,741.2727273,781.75,756.5,689.9166667,773.5833333,858.25,1116.75,931.9166667,763.25,951,777.8181818,977.75,1102.75,809.5454545,831.3333333,832,777,727.25,787,816,687.4166667,694.5,728,732.6666667,861.1818182,1070.25,1040.5,896.0833333,828,854.5,787.9090909,799,977.5,842.3636364,897.4166667
29,21317,629.75,993,858.9,748.75,808,700.75,720,740.5,618.125,706.3,nan,470,892.25,nan,nan,597.5,717,1089.5,648.3333333,778,956.75,665.5,784.9,693.3333333,489.3333333,707.5454545,666.5,1030.5,721.2,794.1111111,nan,717,796.5,656,nan,549,657,nan,540.5,585
31,21317,538.25,605.25,580.1666667,535.75,664.75,491.0909091,859.5,692.5,520.6363636,718.75,660.75,768.6666667,692.6666667,743.25,711.25,579.6363636,576.5,647,620.6666667,679.7,798.6666667,585.5,631,650,741,505.4166667,616.25,694.75,490.9166667,669.9166667,754.3333333,633.25,715.2727273,667.5,718,622.6363636,615,862.75,627.5833333,770.4
34,21317,519,532,625.0909091,540.25,583.75,494.1818182,566,594.25,477,554.5833333,616,1001.5,581.5,732,584.75,574.4166667,530,609.25,499,571.7272727,535,525.75,558.6666667,539,574.25,497.25,542.5,537.5,438.0833333,604.5,650.3333333,600,587.9,555.6666667,631,568.0909091,486.75,566,510.25,673.75
36,21317,581.75,613.25,738.1666667,692.25,733.5,573.9090909,690,637.75,605.5833333,594.4166667,648.5,923,757.8333333,693.5,773.5,746.6666667,641,740,704.4166667,725.9166667,625.6666667,684.75,659.8181818,692.75,681.5,616.75,593.5,761.5,588.3636364,727.0833333,789.6666667,735.75,787.6666667,687.25,757.75,715.5833333,665,693,697.5833333,737.4
39,21317,463.25,357.5,466.1818182,441,409.5,458.9,534.3333333,507,419.6,486.1,479.5,507,572.3636364,420.5,452.5,461.75,484.3333333,482,510.7142857,494.1428571,486.6666667,492.75,461.1,343,587.3333333,425.4166667,455,566.6666667,382.1666667,463,696,520,543,415.5,617.5,525.1428571,561.5,630,569.5555556,600.6
10_1,21317,532,617.3333333,595.6,474,580,440.5555556,503.5,581,476.8333333,569.75,744.75,808,748.6,770.5,495,642.2,665,652.5,697.5,734,577.25,613.5,531.7272727,635,854.75,508.4545455,560.5,550.6666667,597.0909091,510.25,nan,681.3333333,631.6666667,550.5,657.5,685.5,728,617,627.7142857,616.1666667
6_1,21117,664.5,610.5,589,538,683,506.6363636,555.25,692,563.5454545,612.5,712.75,879.25,671.5,874,820.75,575.0909091,727.75,738.25,585,716.6363636,529.75,550.25,595.75,694.75,625.5,512.9166667,566.75,672,515.25,672.5833333,928.5,638.75,740.5,676.5,794.75,628,672.25,713.75,625.75,719.5
9_1,21317,458.25,484.25,536.9090909,395,475,424,429,446.3333333,427.1818182,439.4,581.6666667,830,551.6666667,901.6666667,638.5,524.7142857,425.6666667,485,535.2727273,708.4444444,422.25,454,443,472.3333333,500,414.5,436.5,454.25,452.75,463.4444444,546.5,459,559,494.6666667,587,522.125,510,676,521.1,578.2857143
1,80717,710.5,786.25,826.8333333,576.75,913.25,609,668.75,751.25,743,731.4545455,912.5,989.25,825,886.5,828.25,764.9166667,841,763.25,745.25,867.5,734.25,755.25,741.8181818,805,690.75,593,672,711.5,688.5833333,742.5,961.5,850.25,865.5,741.75,964.75,738.75,752.5,822.5,776.75,906.1666667
